Issue key,Issue id,Parent id,Summary,Issue Type,Status,Resolution,Assignee,Created,Updated,Resolved,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Custom field (Estimated Points),Custom field (Actual Points)
CD-309,947469,,Change and Check of PCB Design,Task,Closed,Done,terminated,07/Aug/15 12:40 PM,09/Jan/18 7:55 AM,31/Aug/15 11:21 AM,August 2015 done,,,PCB-Layout,,,2.0,2.6
CD-310,947470,,Change and Check of PCB Design,Task,Closed,Done,terminated,07/Aug/15 12:40 PM,09/Jan/18 7:55 AM,31/Aug/15 11:21 AM,August 2015 done,,,PCB-Layout,,,0.5,0.5
CD-311,947472,,Check of CAD Library Elements,Task,Closed,Done,terminated,07/Aug/15 12:40 PM,09/Jan/18 7:55 AM,31/Aug/15 11:21 AM,August 2015 done,,,PCB-Layout,,,6.0,4.6
CD-410,950399,,Check of CAD Library Elements,Task,Closed,Done,terminated,02/Sep/15 3:58 PM,09/Jan/18 7:55 AM,30/Sep/15 5:47 PM,September 2015 done,,,PCB-Layout,,,4.0,3.1
CD-411,950400,,Mechanical data import and check,Task,Closed,Done,terminated,02/Sep/15 3:59 PM,09/Jan/18 7:55 AM,30/Sep/15 5:47 PM,September 2015 done,,,PCB-Layout,,,1.0,1.0
CD-412,950401,,Placement of components (ca. 1000 components),Task,Closed,Done,terminated,02/Sep/15 4:00 PM,09/Jan/18 7:55 AM,30/Sep/15 5:47 PM,September 2015 done,,,PCB-Layout,,,7.0,5.9
CD-446,953887,,Setup and checking rules in CES,Task,Closed,Done,terminated,29/Sep/15 11:11 AM,09/Jan/18 7:55 AM,30/Sep/15 5:47 PM,September 2015 done,,,PCB-Layout,,,1.0,2.5
CD-450,953892,,Planes and power routing,Task,Closed,Done,terminated,29/Sep/15 11:21 AM,09/Jan/18 7:55 AM,30/Oct/15 3:04 PM,October 2015 done,,,PCB-Layout,,,1.0,5.0
CD-451,953893,,Critical routing,Task,Closed,Done,terminated,29/Sep/15 11:21 AM,09/Jan/18 7:55 AM,30/Oct/15 3:04 PM,October 2015 done,,,PCB-Layout,,,4.0,6.75
CD-452,953894,,Adding testpoints,Task,Closed,Done,terminated,29/Sep/15 11:22 AM,09/Jan/18 7:55 AM,02/Dec/15 9:41 AM,November 2015 done,,,PCB-Layout,,,5.0,6.0
CD-453,953895,,Check sheet and FAB data,Task,Closed,Done,terminated,29/Sep/15 11:22 AM,09/Jan/18 7:55 AM,02/Dec/15 9:41 AM,November 2015 done,,,PCB-Layout,,,2.0,2.5
CD-454,953896,,Check of CAD Library Elements,Task,Closed,Done,terminated,29/Sep/15 11:23 AM,09/Jan/18 7:55 AM,02/Dec/15 9:41 AM,November 2015 done,,,PCB-Layout,,,0.5,0.55
CD-1126,990971,,EEprom Write access,Task,Closed,Done,hleberer,30/Jun/16 10:20 AM,02/Nov/17 1:42 PM,30/Jun/16 10:26 AM,Done in 2016-Jun,,,Maintenance Hardware,,,12.0,14.0
CD-1155,993572,,Ulf Improvement,Task,Closed,Done,hleberer,15/Jul/16 12:58 PM,02/Nov/17 1:42 PM,15/Jul/16 12:59 PM,Done in July 2016,,,Maintenance Hardware,,,2.0,2.0
CD-1218,998673,,Garage PHY Project,Task,Pre-Planning,,tanzeelur.rehman,30/Aug/16 7:31 AM,06/Nov/17 12:01 PM,,,,,FPGA,,,190.0,0.0
CD-1456,1010024,,Redesign of EK050-26520-003,Task,Closed,Done,bharadwaj.chalamacha,24/Nov/16 10:22 AM,04/Apr/17 11:38 AM,31/Mar/17 1:05 PM,Done in Mar 2017,,,PCB-Layout,,,29.0,29.0
CD-1463,1010246,,HSDP Simulation Demo,Task,Pre-Planning,,tanzeelur.rehman,24/Nov/16 1:46 PM,31/Aug/17 11:20 AM,,,,,FPGA,,,2.0,
CD-1464,1010247,,LSDP Simulation Demo,Task,Pre-Planning,,tanzeelur.rehman,24/Nov/16 1:47 PM,31/Aug/17 11:21 AM,,,,,FPGA,,,2.0,
CD-1465,1010248,,LSDP Simulation Demo Max10 to Xilinx,Task,Pre-Planning,,tanzeelur.rehman,24/Nov/16 1:50 PM,31/Aug/17 11:21 AM,,,,,FPGA,,,2.0,
CD-1548,1013164,,Develop and document a script to create an automated TP skeleton ,Task,Closed,Done,michael.schnaufer,15/Dec/16 2:56 PM,06/Mar/18 4:16 PM,13/Feb/18 10:28 AM,Done in Feb 2018,,,Application Service,,,0.0,0.0
CD-1624,1017512,,EK050-26530-002-fab,Task,Closed,Done,prabhavathy.venkatac,31/Jan/17 3:20 PM,04/Apr/17 11:39 AM,31/Mar/17 1:11 PM,Done in Mar 2017,,,PCB-Layout,,,4.0,2.5
CD-1639,1019043,,Ramp of Engineers,Task,Pre-Planning,,michael.schnaufer,08/Feb/17 3:52 PM,13/Feb/18 10:29 AM,,,,,Application Service,,,0.0,0.0
CD-1677,1021237,,Taka calibration investigation,Task,Closed,Done,ralf.maisch,23/Feb/17 4:46 PM,04/Apr/17 11:39 AM,30/Mar/17 2:06 PM,Done in Mar 2017,,,Maintenance Hardware,,,30.0,27.5
CD-1678,1021239,,Bugfixing and Improvement of code quality and performance,Task,Closed,Done,ralf.maisch,23/Feb/17 4:47 PM,04/Apr/17 11:39 AM,30/Mar/17 2:06 PM,Done in Mar 2017,,,Maintenance Hardware,,,5.0,17.0
CD-1679,1021240,,Consulting and support of other developers regarding caldata handling and compensation ,Task,Closed,Done,ralf.maisch,23/Feb/17 4:47 PM,04/Apr/17 11:39 AM,30/Mar/17 2:06 PM,Done in Mar 2017,,,Maintenance Hardware,,,5.0,3.0
CD-1681,1021916,998673,Garage HW Xilinx/ Altera,Sub-task,Closed,Done,tanzeelur.rehman,01/Mar/17 11:13 AM,04/Apr/17 11:38 AM,31/Mar/17 2:40 PM,Done in Mar 2017,,,FPGA,,,20.0,20.0
CD-1682,1021917,,CIC design support,Task,Closed,Done,tanzeelur.rehman,01/Mar/17 11:20 AM,04/Apr/17 11:38 AM,31/Mar/17 2:44 PM,Done in Mar 2017,,,FPGA,,,4.0,10.0
CD-1683,1021918,998673,Garage Interface IP integration into CB PP support,Sub-task,Closed,Done,tanzeelur.rehman,01/Mar/17 11:24 AM,04/Apr/17 11:38 AM,31/Mar/17 2:42 PM,Done in Mar 2017,,,FPGA,,,8.0,5.0
CD-1684,1022061,,Finalize the Layout of the new DUT Board EK601-26589-001,Task,Closed,Done,bharadwaj.chalamacha,02/Mar/17 9:38 AM,04/Apr/17 11:38 AM,31/Mar/17 1:07 PM,Done in Mar 2017,,,PCB-Layout,,,2.0,4.0
CD-1685,1022062,,Part Setup,Task,Closed,Done,prabhavathy.venkatac,02/Mar/17 9:43 AM,04/Apr/17 11:38 AM,31/Mar/17 1:17 PM,Done in Mar 2017,,,PCB-Layout,,,15.0,10.0
CD-1686,1022066,,Redesign of EK050-26598-002,Task,Closed,Done,bharadwaj.chalamacha,02/Mar/17 10:06 AM,04/Apr/17 11:38 AM,31/Mar/17 1:08 PM,Done in Mar 2017,,,PCB-Layout,,,5.0,7.0
CD-1687,1022067,,EK050-26540-001-Mrz,Task,Closed,Done,prabhavathy.venkatac,02/Mar/17 10:13 AM,04/Apr/17 11:38 AM,31/Mar/17 1:23 PM,Done in Mar 2017,,,PCB-Layout,,,20.0,33.5
CD-1688,1022080,,Postgres Performance Analysis - part 2,Task,Closed,Done,elvedin.mustafic,02/Mar/17 11:22 AM,04/Apr/17 11:38 AM,27/Mar/17 8:44 AM,Done in Mar 2017,,,Maintenance Hardware,,,15.0,24.0
CD-1689,1022085,,Licensing/Capabilities Phase2 (Part 2),Task,Closed,Done,elvedin.mustafic,02/Mar/17 11:36 AM,04/Apr/17 11:38 AM,27/Mar/17 8:44 AM,Done in Mar 2017,,,Maintenance Hardware,,,10.0,3.0
CD-1690,1022088,,Do not use hostnames for licensing - Part 2,Task,Closed,Done,elvedin.mustafic,02/Mar/17 11:41 AM,04/Apr/17 11:38 AM,27/Mar/17 8:44 AM,Done in Mar 2017,,,Maintenance Hardware,,,5.0,6.0
CD-1691,1022089,,"CPE, Bug fixing",Task,Closed,Done,elvedin.mustafic,02/Mar/17 11:45 AM,04/Apr/17 11:38 AM,30/Mar/17 4:09 PM,Done in Mar 2017,,,Maintenance Hardware,,,8.0,11.0
CD-1692,1022095,998673,Garage documentation,Sub-task,Closed,Done,tanzeelur.rehman,02/Mar/17 12:09 PM,04/Apr/17 11:38 AM,31/Mar/17 2:42 PM,Done in Mar 2017,,,FPGA,,,4.0,11.0
CD-1693,1022794,,Amerang ST8 Workshop,Task,Closed,Done,hleberer,07/Mar/17 11:59 AM,04/Apr/17 11:38 AM,20/Mar/17 6:49 AM,Done in Mar 2017,,,Maintenance Hardware,,,5.0,5.0
CD-1694,1022795,,Mpoi tree restructuring,Task,Closed,Done,hleberer,07/Mar/17 12:01 PM,04/Apr/17 11:38 AM,20/Mar/17 6:49 AM,Done in Mar 2017,,,Maintenance Hardware,,,4.0,4.0
CD-1695,1022796,,"Diag@Speed, Legacy Diag with Cal Data",Task,Closed,Done,hleberer,07/Mar/17 12:02 PM,04/Apr/17 11:38 AM,30/Mar/17 4:09 PM,Done in Mar 2017,,,Maintenance Hardware,,,20.0,20.0
CD-1696,1022797,,"Bugfixing, CPE",Task,Closed,Done,hleberer,07/Mar/17 12:03 PM,04/Apr/17 11:38 AM,30/Mar/17 4:09 PM,Done in Mar 2017,,,Maintenance Hardware,,,10.0,15.0
CD-1697,1022961,,Create maintenance facade,Task,Closed,Done,robert.adonyi,08/Mar/17 12:35 PM,04/Apr/17 11:38 AM,30/Mar/17 4:09 PM,Done in Mar 2017,,,Maintenance Hardware,,,34.0,47.0
CD-1698,1023194,1013164,March 2017 - Develop and document a script to create an automated TP skeleton,Sub-task,Closed,Done,eduard.stefes,09/Mar/17 3:56 PM,05/Apr/17 11:18 AM,03/Apr/17 4:51 PM,Done in Mar 2017,,,Application Service,,,10.0,10.0
CD-1699,1023196,1019043,March 2017 - Ramp of Engineer,Sub-task,Closed,Done,asad-ahmed.ansari,09/Mar/17 4:00 PM,05/Apr/17 11:21 AM,03/Apr/17 4:52 PM,Done in Mar 2017,,,Application Service,,,36.0,34.0
CD-1700,1023217,1019043,March 2017 - Ramp of Engineer,Sub-task,Closed,Done,wassim.dhokar,09/Mar/17 5:47 PM,05/Apr/17 11:24 AM,03/Apr/17 4:52 PM,Done in Mar 2017,,,Application Service,,,36.0,38.0
CD-1701,1023426,,Digital User Training,Task,Closed,Done,asad-ahmed.ansari,10/Mar/17 9:19 AM,04/Apr/17 11:39 AM,24/Mar/17 4:07 PM,Done in Mar 2017,,,Training and Documentation,,,10.0,10.0
CD-1702,1023428,,Digital User Training,Task,Closed,Done,wassim.dhokar,10/Mar/17 9:20 AM,05/Apr/17 11:27 AM,24/Mar/17 4:00 PM,Done in Mar 2017,,,Training and Documentation,,,10.0,10.0
CD-1703,1024681,,7.4.3.0_IT2i testcycle on LTH Horus.,Task,Closed,Done,herbert.graf,20/Mar/17 8:02 AM,04/Apr/17 11:39 AM,24/Mar/17 1:59 PM,Done in Mar 2017,,,BBN-TestLab Testing,,,4.0,4.0
CD-1704,1024683,,7.4.3.0_ITC2i testcycle on STH Anubis.,Task,Closed,Done,herbert.graf,20/Mar/17 8:02 AM,04/Apr/17 11:39 AM,24/Mar/17 2:20 PM,Done in Mar 2017,,,BBN-TestLab Testing,,,4.0,4.0
CD-1705,1024684,,Performance measurements for sRDI package 2.4.5 on LTH Horus.,Task,Closed,Done,herbert.graf,20/Mar/17 8:04 AM,04/Apr/17 11:39 AM,24/Mar/17 2:32 PM,Done in Mar 2017,,,BBN-TestLab Testing,,,5.0,5.0
CD-1706,1024685,,Performance measurements for sRDI package 2.4.5 on STH Anuket.,Task,Closed,Done,arvind.anche,20/Mar/17 8:05 AM,04/Apr/17 11:38 AM,30/Mar/17 1:14 PM,Done in Mar 2017,,,BBN-TestLab Testing,,,2.0,2.0
CD-1707,1024686,,8.0.7.0-1i testcycle on LTH Horus.,Task,Closed,Done,herbert.graf,20/Mar/17 8:09 AM,04/Apr/17 11:39 AM,24/Mar/17 2:25 PM,Done in Mar 2017,,,BBN-TestLab Testing,,,3.0,3.0
CD-1708,1024687,,8.0.7.0-1i testcycle on STH Anubis.,Task,Closed,Done,herbert.graf,20/Mar/17 8:09 AM,04/Apr/17 11:39 AM,24/Mar/17 2:24 PM,Done in Mar 2017,,,BBN-TestLab Testing,,,2.5,2.5
CD-1709,1024688,,7.4.2.1_FVi testcycle on LTH Horus.,Task,Closed,Done,herbert.graf,20/Mar/17 8:10 AM,04/Apr/17 11:39 AM,24/Mar/17 2:22 PM,Done in Mar 2017,,,BBN-TestLab Testing,,,4.0,4.0
CD-1710,1024689,,7.4.2.1_FVi testcycle on STH Anubis.,Task,Closed,Done,herbert.graf,20/Mar/17 8:11 AM,04/Apr/17 11:39 AM,24/Mar/17 2:26 PM,Done in Mar 2017,,,BBN-TestLab Testing,,,3.0,3.0
CD-1711,1024690,,7.4.2.1_FVi testcycle on ATH Ipet.,Task,Closed,Done,arvind.anche,20/Mar/17 8:12 AM,04/Apr/17 11:39 AM,30/Mar/17 1:14 PM,Done in Mar 2017,,,BBN-TestLab Testing,,,3.0,3.0
CD-1712,1024691,,7.4.2.1_FVi testcycle on ATH Babi.,Task,Closed,Done,arvind.anche,20/Mar/17 8:12 AM,04/Apr/17 11:39 AM,30/Mar/17 1:15 PM,Done in Mar 2017,,,BBN-TestLab Testing,,,3.0,3.0
CD-1713,1024692,,7.4.2.1_FVi testcycle on STH Anuket.,Task,Closed,Done,arvind.anche,20/Mar/17 8:13 AM,04/Apr/17 11:39 AM,30/Mar/17 1:15 PM,Done in Mar 2017,,,BBN-TestLab Testing,,,3.0,3.0
CD-1714,1024694,,7.4.3.0_IT2i testcycle on ATH Babi.,Task,Closed,Done,arvind.anche,20/Mar/17 8:14 AM,04/Apr/17 11:39 AM,30/Mar/17 1:15 PM,Done in Mar 2017,,,BBN-TestLab Testing,,,3.0,3.0
CD-1715,1024695,,7.4.3.0_IT2i testcycle on ATH Ipet.,Task,Closed,Done,arvind.anche,20/Mar/17 8:15 AM,04/Apr/17 11:39 AM,30/Mar/17 1:15 PM,Done in Mar 2017,,,BBN-TestLab Testing,,,3.0,3.0
CD-1716,1024696,,7.4.3.0_ITC2i testcycle on STH Anuket.,Task,Closed,Done,arvind.anche,20/Mar/17 8:15 AM,04/Apr/17 11:39 AM,30/Mar/17 1:15 PM,Done in Mar 2017,,,BBN-TestLab Testing,,,3.0,3.0
CD-1717,1024699,,7.3.2.5.cs.3_FV testcycle on LTH Horus.,Task,Closed,Done,herbert.graf,20/Mar/17 8:23 AM,04/Apr/17 11:39 AM,24/Mar/17 2:30 PM,Done in Mar 2017,,,BBN-TestLab Testing,,,0.5,0.5
